(12/20/2023 12:23:39 PM) |> ----------------------------------------------
(12/20/2023 12:23:39 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (9), Added; (red +4_wild; 50 Points)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red +4_wild; 50 Points
(12/20/2023 12:51:20 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 4), Value; (2)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (2)
(12/20/2023 12:51:20 PM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (5), Card index; (2), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 2
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (2)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.CardPlay), c_card; (red) (+2), add, 2
(12/20/2023 12:51:20 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:20 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 84), Value; (36)
(12/20/2023 12:51:20 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.CardClass)
(12/20/2023 12:51:20 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 83), Value; (69)
(12/20/2023 12:51:20 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.AddCards), cards added; (AddCards Index: 0 AddCards Index: 0 )
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (2), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, +2), Player Index (0)
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 765)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 765)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 765)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 765)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 765)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 765)
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.UpdatePoints) [1629]
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red +2; 10 Points
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (475, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/20/2023 12:51:20 PM) |> method; (CardClass.SetPBLocation), x, y; (915, 5)
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (915, 915)
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.UpdatePoints) [754]
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red +2; 10 Points
(12/20/2023 12:51:20 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:51:20 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-3)
(12/20/2023 12:51:20 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-8)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (10), Added; (red +2; 10 Points)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (6)
Player1 CardCount; (9)
    PlusAmount (0)
    Discard Pile Count; (10), Top Card; (red +2; 10 Points)
(12/20/2023 12:51:20 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (4)
Player1 CardCount; (10)
    PlusAmount (0)
    Discard Pile Count; (10), Top Card; (red +2; 10 Points)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (3)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.cardPB_Click), Card Index (3)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.CardPlay), c_card; (red) (6), error
(12/20/2023 12:51:22 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (3), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 6), Player Index (1)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 765)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (805, 805)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.UpdatePoints) [1714]
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 6; 6 Points
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (475, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (915, 5)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (915, 915)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.UpdatePoints) [849]
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 6; 6 Points
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:51:22 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (8)
(12/20/2023 12:51:22 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (7)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (11), Added; (red 6; 6 Points)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 6; 6 Points
(12/20/2023 12:51:22 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 3), Value; (1)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (1)
(12/20/2023 12:51:22 PM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (4), Card index; (1), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 1
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (1)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.CardPlay), c_card; (red) (5), error
(12/20/2023 12:51:22 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:22 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (1), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 5), Player Index (0)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (585, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (640, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (695, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (750, 765)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (805, 765)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (805, 805)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.UpdatePoints) [1799]
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 5; 5 Points
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (500, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/20/2023 12:51:22 PM) |> method; (CardClass.SetPBLocation), x, y; (885, 5)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (885, 885)
(12/20/2023 12:51:22 PM) |> method; (PlayerClass.UpdatePoints) [939]
(12/20/2023 12:51:23 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:51:23 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 5; 5 Points
(12/20/2023 12:51:23 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:51:23 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-9)
(12/20/2023 12:51:23 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-2)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (12), Added; (red 5; 5 Points)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (5)
Player1 CardCount; (8)
    PlusAmount (0)
    Discard Pile Count; (12), Top Card; (red 5; 5 Points)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (5)
Player1 CardCount; (9)
    PlusAmount (0)
    Discard Pile Count; (12), Top Card; (red 5; 5 Points)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.cardPB_Click), Card Index (0)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.CardPlay), c_card; (red) (2), error
(12/20/2023 12:51:23 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player +1
(12/20/2023 12:51:23 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 2), Player Index (1)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 765)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 765)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 765)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 765)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (775, 775)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.UpdatePoints) [1882]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 2; 2 Points
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (500, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (885, 5)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (885, 885)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.UpdatePoints) [1029]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 2; 2 Points
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.ActivateClick)
(12/20/2023 12:51:24 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (0)
(12/20/2023 12:51:24 PM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-1)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (13), Added; (red 2; 2 Points)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (red 2; 2 Points
(12/20/2023 12:51:24 PM) |> method; (RandomNumber.Between), Between; (min: 0, max: 2), Value; (0)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/20/2023 12:51:24 PM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (3), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 0
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.FindPictureInList), Card Index; (0)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.CardPlay), c_card; (red) (5), error
(12/20/2023 12:51:24 PM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.AddLogic)
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/20/2023 12:51:24 PM) |> method; (GameLogicClass.CardClickLogic), Card Index; (0), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, 5), Player Index (0)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DeactivateClick)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (610, 765)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (665, 765)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (720, 765)
(12/20/2023 12:51:24 PM) |> method; (CardClass.SetPBLocation), x, y; (775, 765)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.FindCardPosition), Positions x,y (775, 775)
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.UpdatePoints) [1965]
(12/20/2023 12:51:24 PM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
